Number,Project,Number,Status Date,Overall health,Functions on board,Solution,Resources,Risks on prod,Ok for Launch,Handover,Close and learn,GR1,GR2a,GR2b,GR3,GR4,Last WAR,WAR Tweet
PRJSTAT0075330,EREPLENISHMENT - FIS - HLOHOVEC,PRJ0074342,6/5/2025,Yellow,Green,,,,,,,,,,,,VERDADERO,Delay due to MII version -> update of MII on CW24
PRJSTAT0075316,Changchun Frame IJCore TCO Deployment,PRJ0074787,6/5/2025,Green,,,,,,,,,,,,,VERDADERO,Weekly Review WK23.2025
PRJSTAT0075338,TCO - FIS - PARDUBICE - BMW - G72/G70LCI,PRJ0074119,6/5/2025,Yellow,Green,Green,Green,,,,,100,100,97,83,0,VERDADERO,Testing ongoing; PLC programming not finished; Masterdata features ongoing
PRJSTAT0075339,TCO - FCM - CAPE TOWN - FORD - T6 B1.6 U704,PRJ0075038,6/5/2025,Yellow,Green,Green,Green,Green,,,,,,,,,VERDADERO,"1. Kickoff W51-2024 & PROCS configuration completed in W06 2. TCO readiness expected W24-2025 (tbc) -> W23-2025 (tbc or W24-2025) (Sébastien not available W25-2025) 3. OEM program currently ""ON HOLD"", but test are going on"
PRJSTAT0075317,Qingdao FAS Frame T28 TCO IJCoreNG,PRJ0074230,6/5/2025,Green,,,,,,,,91,96,93,0,0,VERDADERO,on-hold
PRJSTAT0075333,TCO - FCM - PISEK - VOLVO - E11572C,PRJ0075165,6/5/2025,Green,Green,Green,Green,,,,,,,,,,VERDADERO,On-hold -> machines expected on CW28
PRJSTAT0075331,JIT - FIS - MLADA BOLESLAV - BMW - UKL LCI JIS - IP,PRJ0075359,6/5/2025,Green,,Green,,,,,,100,0,0,0,0,VERDADERO,Orders for servers in progress
PRJSTAT0075313,NAO - Group - Bright Program - PLC / IT integration ,PRJ0074871,6/4/2025,Green,,,,,,,,,,,,,VERDADERO,Meeting with program rescheduled
PRJSTAT0075307,TCO – FCM - ALMUSSAFES - FORD - C482 Welding line transfer from Pamplona,PRJ0075456,6/4/2025,Green,,,,,,,,100,0,0,0,0,VERDADERO,• Blueprint planned to be finished and validated in CW24 • POs (T-SYSTEMS) approved in CW21
PRJSTAT0075282,Roll out FCS to FIS Tochigi plant 2574,PRJ0074281,6/4/2025,Green,,,,,,,,100,100,94,82,0,VERDADERO,Start Serial life production 
PRJSTAT0075294,E-REPLENISHMENT - FIS - GORZOW II,PRJ0073845,6/4/2025,Green,,,,,,,,,,,,,VERDADERO,"On track with planning, but go live planned for week 27 "
PRJSTAT0075309,FCS Customer Flow - FCE Paris Tech – Triangular flow with Volvo Goteborg and HU04,PRJ0075486,6/4/2025,Green,,,,,,,,,,,,,VERDADERO,Regular meeting
PRJSTAT0075289,WMS - FAS - SALE - RC SOFT for dynamic warehouse,PRJ0075538,6/4/2025,Green,,,,,,,,,,,,,VERDADERO,VM installed 
PRJSTAT0075310,FCS Customer Flow - FCE Paris - Triangular Flow  STELLANTIS AUTO SAS,PRJ0075324,6/4/2025,Green,,,,,,,,,,,,,VERDADERO,Regular meeting
PRJSTAT0075306,FCS Customer Flow - FCE Paris - Customer EDI setup with Scania Brazil,PRJ0075020,6/4/2025,Green,,,,,,,,,,,,,VERDADERO,Demand Integrated waiting 1st Delivery
PRJSTAT0075305,FCS Customer Flow -FIS Kenitra-STO EX10 implementation,PRJ0075430,6/4/2025,Green,,,,,,,,,,,,,VERDADERO,Open Point - No prices can be carried out for Proforma Invoice
PRJSTAT0075302,FCS Customer Flow – FCM Theillay - Daimler Truck aftersales ,PRJ0075532,6/4/2025,Green,,,,,,,,,,,,,VERDADERO,setup edi in progress based of master data identified. point to clarify: customer PO & prices
PRJSTAT0075288,TCO - FIS - KENITRA - STELLANTIS - F2X IP,PRJ0074858,6/4/2025,Green,Green,Green,Green,Green,Green,Green,Green,92,94,0,0,0,VERDADERO,"Blueprint done, pending validation"
PRJSTAT0075308, implement Warehouse Management System - Rayong FCM,PRJ0075351,6/4/2025,Green,,,,,,,,,,,,,VERDADERO,Key User training 
PRJSTAT0075285,JIT - FIS - TARAZONA - MERCEDES - VAN.EA - Door Panel Sequencing,PRJ0075449,6/4/2025,Green,,,,,,,,100,0,0,0,0,VERDADERO,all POs launched and pending to finish bleuprint
PRJSTAT0075304,TCO - FIS - ABRERA - VW210 IP,PRJ0075198,6/4/2025,Green,,,,,,,,,,,,,VERDADERO,1. Kickoff planned for CW27 2025  2. TCO with machines ready planned for CW44 2025 3. Go Live planned for CW11 2026 (MPT in CW11 2026) 
PRJSTAT0075314,NAO – Group – Bright Program – MXH – Solution Selection Process,PRJ0075041,6/4/2025,Green,,,,,,,,,,,,,VERDADERO,Supplier's questionary publishment 
PRJSTAT0075293,EREPLENISHMENT - FIS - TARAZONA,PRJ0072393,6/4/2025,Yellow,Green,Green,Green,Green,Green,Green,Green,94,97,97,97,0,VERDADERO,2 blocking issues for project closure.  Next meeting on week 25
PRJSTAT0075295,WEBPICKING - FIS - GORZOW II,PRJ0075277,6/4/2025,Yellow,,,,,,,,,,,,,VERDADERO,BLOCKING ISSUE found:  Needed to have 2 different storages location for the same component.  A new RFC must be created to add this functionality
PRJSTAT0075287,FCS Customer Flow - FCM Fradley - JLR SAP S4 Hana| EDI Onboarding| Business Partner 10311,PRJ0074419,6/4/2025,Yellow,,,,,,,,,,,,,VERDADERO,"Forvia systems OK, but on going issue with JLR remain."
PRJSTAT0075284,Request new site infrastructure for FAS Thailand,PRJ0073369,6/4/2025,Green,,,,,,,,100,100,100,100,0,VERDADERO,Waiting for firewall implement
PRJSTAT0075298,TCO - FIS - ORHANGAZI - RENAULT - R1312 IP,PRJ0075064,6/4/2025,Green,Green,,,,,,,100,100,0,0,0,VERDADERO,TSI Technical analysis ongoing; Configuration to be started
PRJSTAT0075286,FCS QMLite - FIS Fradley - Implementation of quality inspection at reception,PRJ0075497,6/4/2025,Green,,,,,,,,,,,,,VERDADERO,"Cusstomising completed , "
PRJSTAT0075311,TCO - FCM - BRAGANCA - RENAULT - E3253D HR12 & E10801 HR18,PRJ0075272,6/4/2025,Green,,,,,,,,100,100,100,94,0,VERDADERO,"• HR12 & HR18 Machines validated in CW21, pending Allan Bradley to planned for CW22 & beginning of CW23 • HR18 MPT done successfully in CW22 • HR12 MPT & Go Live (without rework stations as it's not blocking for MPT) planned for CW27"
PRJSTAT0075301,FCS  Customer Flow - FCM Augsburg -  DMND0027550 DMND0027551 DMND0027552   AUG--> VAG group.,PRJ0074947,6/4/2025,Green,,,,,,,,,,,,,VERDADERO,Forvia systems working as expected.  Possible demand in two weeks. Triangular flow may be discussed agin but not in this project's scope
PRJSTAT0075292,JISPOS - FAS - VILLERS LA MONTAGNE - RENAULT - XDD,PRJ0074254,6/4/2025,Yellow,,,,,,,,97,96,97,100,95,VERDADERO,3 blocking point to close the project.  Expected around week 27. 
PRJSTAT0075297,FCS Customer Flow - FCM Cape Town - Bracket Flow change - CAP to SEZ whse to IVECO Whse to FORD,PRJ0075531,6/4/2025,Green,,,,,,,,,,,,,VERDADERO,Follow up mtg 2 
PRJSTAT0075315,ITOP - GIT - NAO - Server Room Remediation Project,PRJ0075230,6/4/2025,Yellow,,,,,,,,,,,,,VERDADERO,Drafting
PRJSTAT0075299,TCO - FIS - ORHANGAZI - RENAULT - B1318,PRJ0074165,6/4/2025,Green,Green,Green,Green,,,,,100,100,100,97,0,VERDADERO,Production is live using TCO - Small adjustments being done
PRJSTAT0075283,Preactor/NEO  implementation request for FCM KR JA Plant,PRJ0075193,6/4/2025,Green,,,,,,,,100,100,100,94,89,VERDADERO,GR4 meeting
PRJSTAT0075290,FOR_Automatized entrance software for trucks,PRJ0075469,6/4/2025,Yellow,,,,,,,,0,0,0,0,0,VERDADERO,CZBKV Qtir - budget approval in process
PRJSTAT0075277,NAO - FCE - SJdR - NISSAN - iTAC implementation - Overall ,PRJ0073464,6/3/2025,Green,,,,,,,,,,,,,VERDADERO,Waiting for the GoLive of P13C final assembly line to close the project
PRJSTAT0075276,NAO – Group – Bright Program – MXH – Onboarding App,PRJ0074966,6/3/2025,Green,,,,,,,,95,100,100,100,100,VERDADERO,Sprint 5 Presented
PRJSTAT0075265,TCO - FCM - ALLENJOIE FHS - Tank XL,PRJ0074556,6/3/2025,Yellow,Green,Green,Green,Green,Yellow,,,100,100,100,63,0,VERDADERO,"1. Industrial milestones delayed (w/o customer impact) 2. Sniffing (TCO test expected (W19 w/o Proof and after W23-2025 with Proof), Proof (TCO test W23-2025 expected)"
PRJSTAT0075280,NAO - Group - Bright Program - MXH - Applications Access Control (Hella & Faurecia),PRJ0075339,6/3/2025,Green,,,,,,,,,,,,,VERDADERO,Creating the proper Question that will be validate user for access server 
PRJSTAT0075275,FCS Customer Flow – FIS BSO - Opel Automobile GmbH Werk Eisenach ,PRJ0075507,6/3/2025,Green,,,,,,,,,,,,,VERDADERO,implementation in progress . Planned Go live date: 10.06.2025
PRJSTAT0075273,GVS - global validation system,PRJ0074016,6/3/2025,Yellow,,,,,,,,,92,100,0,0,VERDADERO,Bugs to be corrected and plan not clear right now. 63 k€ additional costs to be discussed - Next years costs higher than expected
PRJSTAT0075271,FCS Customer Flow - FCM Port Elizabeth - Change Direct Flow to Consignment to Ford,PRJ0075128,6/3/2025,Green,,,,,,,,,,,,,VERDADERO,As per Sales Manager - Follow mtg with Plant & FORD scheduled for 12.06.2025 
PRJSTAT0075278,FCS Customer Flow -FCM Herrenberg:  Customer Mercedes Benz is changing the service provider and unloading point (no JIT Flow),PRJ0075228,6/3/2025,Green,,,,,,,,,,,,,VERDADERO,Flow is runnung - Project to close with one open point.
PRJSTAT0075281,FOR_SAP - FLG - HAM - L SMT Plant (PL 9) - Rollout,PRJ0074877,6/3/2025,Green,,,,,,,,100,94,100,100,0,VERDADERO,Closure and PostGoLive Phase
PRJSTAT0075270,FCS Customer Flow - FCM Cape Town- Change Direct Flow to Consignment to Ford,PRJ0075214,6/3/2025,Green,,,,,,,,,,,,,VERDADERO,Pending FORD Feedback ... As per Sales Manager - Thercia Senakal - a Follow mtg with FORD is scehduled for the 12.06.2025
PRJSTAT0075266,Deployment  NEO for ANH,PRJ0075560,6/3/2025,Green,,,,,,,,0,0,0,0,0,VERDADERO,"created, user training"
PRJSTAT0075267,FCS  Customer Flow – FCM -  Vigo - Transfer from JIT Flow Madrid (1130) to Vigo FCM (1132),PRJ0075459,6/3/2025,Green,,,,,,,,,,,,,VERDADERO,Follow UP 2
PRJSTAT0075268,FCS Customer Flow - FIS Sale -TESLA spare parts ,PRJ0075488,6/3/2025,Green,,,,,,,,,,,,,VERDADERO,"Finishing EDI customizing for ASN ""archived"""
PRJSTAT0075258,TCO-Renault R1312 frames-Quatro Barras-FAS,PRJ0075317,6/2/2025,Yellow,,,,,,,,,,,,,VERDADERO,on-going
PRJSTAT0075253,JIT - FIS - SLN - INS to IJCore migration - JIS,PRJ0075429,6/2/2025,Green,,,,,,,,0,0,0,0,0,VERDADERO,"SQL Costs agreed with ITOP, to prepare timeline and kick of proyect this week"
PRJSTAT0075244,TCO - FCM - THEILLAY - CLAAS -  TOIT K09,PRJ0074027,6/2/2025,Green,Green,Green,Green,Green,,,,100,100,100,100,0,VERDADERO,Tests in progress - 1 MAchine Remaining - Waiting date of migration of servers by Plant
PRJSTAT0075248,TCO - FCM - ALLENJOIE FHS - GEN2 New automated production line,PRJ0073962,6/2/2025,Yellow,,,,,,,,100,100,0,0,0,VERDADERO,1. Batch Homologation & order Stellantis postponed 2. New planning indus to be provided  3. Blueprint Tank & proof GEN1 HK0 (High capacity) Done 
PRJSTAT0075255,FCS Customer Flow - FAS SJM Frames -CUSTOMER EDI TO BE CREATED C099055981,PRJ0075376,6/2/2025,Yellow,,,,,,,,,,,,,VERDADERO,Go Live
PRJSTAT0075262,JIT/TCO-Nissan P02H-Porto Real-FAS,PRJ0075318,6/2/2025,Green,,,,,,,,,,,,,VERDADERO,on-going
PRJSTAT0075242,TCO - FAS - WALBRZYCH FRAMES - VOLVO - SPA2,PRJ0075431,6/2/2025,Green,,,,,,,,0,0,0,0,0,VERDADERO,Collect of data in progress
PRJSTAT0075233,TCO - FCM - KOCAELI - RENAULT - SM12L  E11599C,PRJ0075168,6/2/2025,Green,,,,,,,,100,100,94,,0,VERDADERO,Testing still ongoing 
PRJSTAT0075239,DMC - FAS - FLERS EN ESCREBIEUX,PRJ0075367,6/2/2025,Green,,,,,,,,100,58,0,0,0,VERDADERO,Formation non planifiée faute d'implication des KU - Modification des programmes toujours bloquée
PRJSTAT0075245,FCS Customer flow - FAS Pisek - X1325 TWINGO PSK → Renault Novo Mesto,PRJ0075435,6/2/2025,Green,,,,,,,,,,,,,VERDADERO,6
PRJSTAT0075260,JIT/TCO-STLA 521 MCAII-Goiana-FIS,PRJ0075471,6/2/2025,Green,,,,,,,,0,0,0,0,0,VERDADERO,on-going
PRJSTAT0075247,FOR_Simulation Process and Data Management,PRJ0075004,6/2/2025,Green,,,,,,,,0,0,0,0,0,VERDADERO,MVP 1.0 system set-up
PRJSTAT0075256,TEO Brasil,PRJ0072252,6/2/2025,Green,,,,,,,,,,,,,VERDADERO,"Execution of cutover and master data of plants 1017, 1653, 1870 and 2125"
PRJSTAT0075252,New PLM (Phase 1),PRJ0074680,6/2/2025,Green,Green,Green,Yellow,,,,,89,0,0,0,0,VERDADERO,Validate solution in progress  (Status W21)  - New PLM becomes ORION
PRJSTAT0075251,MONTREAL - carve out FAC,PRJ0075040,6/2/2025,Green,,,,,,,,90,100,88,,0,VERDADERO,W20-W22
PRJSTAT0075250,FCS Customer flow - FCM Kocaeli - EDI Conection / JIS flow FCM Izmit > Sequencer > Renault,PRJ0075243,6/2/2025,Green,,,,,,,,,,,,,VERDADERO,.
PRJSTAT0075238,FCS Customer Flow -FCM  Pamplona - Transfer JIT from FCM Pedrola,PRJ0074489,6/2/2025,Green,,,,,,,,,,,,,VERDADERO,Project to be closed
PRJSTAT0075240,FCS Customer Flow - FCM Bragança - New flow Client BMW,PRJ0075130,6/2/2025,Green,,,,,,,,,,,,,VERDADERO,Waiting grenn light EDI Onboarding from customer
PRJSTAT0075249,FCS Supplier Consignment Flow - FCM  BG  Pilot BASF,PRJ0074601,6/2/2025,Green,,,,,,,,,,,,,VERDADERO,.
PRJSTAT0075259,JIT/TCO-STLA 226 MCAII-Goiana-FIS,PRJ0075320,6/2/2025,Green,,,,,,,,,,,,,VERDADERO,on-going
PRJSTAT0075237,FCS Customer Flow -  FAS WLB Frames: ADIENT EDI ConnectionCreation,PRJ0075489,6/2/2025,Green,,,,,,,,,,,,,VERDADERO,EDI connection WIP
PRJSTAT0075232,TCO - FCM - AUGSBURG - VW - KASSEL takeover (4 demands),PRJ0074970,6/2/2025,Yellow,,,,,,,,100,0,0,0,0,VERDADERO,PLC Planning late 
PRJSTAT0075263,NAO – Group – Bright Program – MXH – Data Management 5s Data,PRJ0074968,6/2/2025,Green,,,,,,,,,,,,,VERDADERO,Project close
PRJSTAT0075246,FOR_Mobile Maintenance BD Electronics/Lighting,PRJ0075329,6/2/2025,Green,,,,,,,,100,100,100,0,0,VERDADERO,HCL key user testing it's about to start.
PRJSTAT0075241,FOR_Pricelab Forvia – Hella onboarding,PRJ0075006,6/2/2025,Green,,,,,,,,100,100,0,0,0,VERDADERO,Development started
PRJSTAT0075236,TCO - FCM - KOCAELI - RENAULT - E10801D-HR 18,PRJ0075304,6/2/2025,Yellow,,,,,,,,100,0,0,0,0,VERDADERO,WS received - IP list pending - PO to t-Systems pending PT week27 
PRJSTAT0075243,TCO - FCM - MESSEI - STELLANTIS - E10089E ICEMI4(WEELDING+ LEAKTEST+PRINTER),PRJ0075012,6/2/2025,Green,Green,Green,Green,Green,,,,,,,,,VERDADERO,MPT Done Succesfully - Migration to new servers 10/06
PRJSTAT0075257,TCO RSA R1312 - Curitiba - FAS,PRJ0074265,6/2/2025,Yellow,,,,,,,,100,100,100,0,0,VERDADERO,"on-going, pending tests in 3 PLCs"
PRJSTAT0075264,NAO – Group – Bright Program – MXH – MII Patch Tracking,PRJ0074967,6/2/2025,Green,,,,,,,,,,,,,VERDADERO,Power App
PRJSTAT0075261,JIT/TCO-STLA 598 MCAII-Goiana-FIS,PRJ0075319,6/2/2025,Yellow,,,,,,,,,,,,,VERDADERO,on-going
PRJSTAT0075231,TCO - FIS - HLOHOVEC - BENTLEY -  BY646 flow setup,PRJ0075067,6/1/2025,Green,,,,,,,,,,,,,VERDADERO,"Project created, kick-off to be rescheduled, missing TCO key user -> Andrej Radosovsky. will act as TCO key-user"
PRJSTAT0075228,TCO - FIS - KOSICE - BENTLEY - BY646  ,PRJ0075066,6/1/2025,Green,,,,,,,,90,0,0,0,0,VERDADERO,"Kick-off done, GR1 OK (90%)"
PRJSTAT0075227,TCO - FIS - KOSICE - VW - SK336 Pads&GB,PRJ0072517,6/1/2025,Green,,,,,,,,94,100,94,97,0,VERDADERO,"OK, Project to be closed cw25/2025"
PRJSTAT0075226,JIT - FIS - MLADA BOLESLAV - BMW - EXTENSION UKL,PRJ0074406,6/1/2025,Green,,,,,,,,96,96,96,97,0,VERDADERO,Go-Live done successfully
PRJSTAT0075229,TCO - FIS - TRNAVA - STELLANTIS - CC2x/OV24 IP,PRJ0073370,6/1/2025,Green,,,,,,,,97,100,97,97,0,VERDADERO,"TCO running as expected, SOP for RHD postponed to cw19/2025"
